"","source","target","value"
"721","Lasioglossum (Chilalictus) veronicae","Bursaria spinosa",1
"722","Lasioglossum (Chilalictus) veronicae","Eucalyptus socialis",2
"723","Lasioglossum (Chilalictus) veronicae","Eucalyptus sp",1
"724","Lasioglossum (Chilalictus) veronicae","Hakea sp",1
"725","Lasioglossum (Chilalictus) veronicae","Haloragis trigonocarpa",2
"726","Lasioglossum (Chilalictus) veronicae","Melaleuca sp",1
"727","Lasioglossum (Chilalictus) victoriellum","Mitrasacme polymorpha",1
"728","Lasioglossum (Chilalictus) victoriellum","Monotoca scoparia",1
"729","Lasioglossum (Chilalictus) victoriellum","Pultenaea scabra",2
"730","Lasioglossum (Chilalictus) victoriellum","Scaevola ramosissima",2
"731","Lasioglossum (Chilalictus) victoriellum","Stylidium sp",1
"732","Lasioglossum (Chilalictus) vitripenne","Acacia johnsonii",1
"733","Lasioglossum (Chilalictus) vitripenne","Blennodia canescens",1
"734","Lasioglossum (Chilalictus) vitripenne","Eremophila bowmanii",1
"735","Lasioglossum (Chilalictus) vitripenne","Eremophila goodwinii",1
"736","Lasioglossum (Chilalictus) vitripenne","Eremophila sturtii",14
"737","Lasioglossum (Chilalictus) vitripenne","Eucalyptus sp",3
"738","Lasioglossum (Chilalictus) vitripenne","Eucalyptus sp",1
"739","Lasioglossum (Chilalictus) vitripenne","Eucalyptus viridis",3
"740","Lasioglossum (Chilalictus) vitripenne","Hakea sp",1
"741","Lasioglossum (Chilalictus) vitripenne","Hakea tephrosperma",7
"742","Lasioglossum (Chilalictus) vitripenne","Leucopogon microphyllus",1
"743","Lasioglossum (Chilalictus) vitripenne","Wahlenbergia sp",2
"744","Lasioglossum (Chilalictus) willsi","Taraxacum officinale",1
"745","Lasioglossum (Chilalictus) willsi","Pultenaea microphylla",3
"746","Lasioglossum (Chilalictus) willsi","Wahlenbergia sp",23
"747","Lasioglossum (Chilalictus) xerophilum","Podolepis sp",4
"748","Lasioglossum (Chilalictus) xerophilum","Polycalymma stuartii",1
"749","Lasioglossum (Ctenonomia) msp. ctn1","Acacia buxifolia",1
"750","Lasioglossum (Ctenonomia) msp. ctn1","Acacia sp",2
"751","Lasioglossum (Ctenonomia) msp. ctn2","Acacia suavolens",1
"752","Lasioglossum (Ctenonomia) msp. ctn2","Boronia ledifolia",3
"753","Lasioglossum (Ctenonomia) msp. ctn2","Epacris microphylla",2
"754","Lasioglossum (Ctenonomia) msp. ctn2","Monotoca scoparia",20
"755","Lasioglossum (Ctenonomia) msp. ctn2","Petrophile pulchella",1
"756","Lasioglossum (Ctenonomia) msp. ctn2","Sprengelia incarnata",1
"757","Lasioglossum (Ctenonomia) msp. ctn2","Xanthorrhoea media",1
"758","Lasioglossum (Ctenonomia) sp. ctn3","Cassinia laevis",1
"759","Lasioglossum (Ctenonomia) sp. ctn3","Dianella caerulea",1
"760","Lasioglossum (Ctenonomia) sp. ctn3","Hibbertia sp",1
"761","Lasioglossum (Ctenonomia) sp. ctn3","Monotoca scoparia",1
"762","Lasioglossum (Ctenonomia) sp. ctn4","Taraxacum officinale",1
"763","Lasioglossum (Ctenonomia) sp. ctn4","Bursaria spinosa",1
"764","Lasioglossum (Ctenonomia) sp. ctn4","Eucalyptus sp",1
"765","Lasioglossum (Ctenonomia) sp. unsorted","Goodenia bellidifolia",1
"766","Lasioglossum (Ctenonomia) sp. unsorted","Monotoca scoparia",1
"767","Lasioglossum (Ctenonomia) sp. unsorted","Petalostylis labicheoides",1
"768","Lasioglossum (Ctenonomia) sp. unsorted","Platysace ericoides",7
"769","Lasioglossum (Ctenonomia) sp. unsorted","Scaevola ramosissima",7
"770","Lasioglossum (Ctenonomia) sp. unsorted","Senna artemisiodes",1
"771","Lasioglossum (Ctenonomia) sp. unsorted","Trimenia moorei",2
"772","Lasioglossum (Parasphecodes) acristum","Eremophila scoparia",1
"773","Lasioglossum (Parasphecodes) altichum","Taraxacum officinale",2
"774","Lasioglossum (Parasphecodes) altichum","Goodenia ovata",1
"775","Lasioglossum (Parasphecodes) altichum","Hakea sp",4
"776","Lasioglossum (Parasphecodes) altichum","Ranunculus sp",2
"777","Lasioglossum (Parasphecodes) atronitens","Actinotus helianthi",1
"778","Lasioglossum (Parasphecodes) atronitens","Epacris microphylla",1
"779","Lasioglossum (Parasphecodes) atronitens","Epacris pulchella",1
"780","Lasioglossum (Parasphecodes) atronitens","Kunzea ambigua",2
"781","Lasioglossum (Parasphecodes) atronitens","Philotheca sp",1
"782","Lasioglossum (Parasphecodes) atronitens","Xanthorrhoea media",2
"783","Lasioglossum (Parasphecodes) atronitens","Xerochrysum bracteatum",2
"784","Lasioglossum (Parasphecodes) bryotrichum","Callistemon citrinus",4
"785","Lasioglossum (Parasphecodes) bryotrichum","Callistemon sp",3
"786","Lasioglossum (Parasphecodes) bryotrichum","Dillwynia retorta",1
"787","Lasioglossum (Parasphecodes) bryotrichum","Kunzea ambigua",3
"788","Lasioglossum (Parasphecodes) bryotrichum","Leptospermum polygalifolium",3
"789","Lasioglossum (Parasphecodes) bryotrichum","Leucopogon lanceolatus",1
"790","Lasioglossum (Parasphecodes) bryotrichum","Monotoca scoparia",6
"791","Lasioglossum (Parasphecodes) bryotrichum","Persoonia oblongata",1
"792","Lasioglossum (Parasphecodes) carbonarium","Acacia linifolia",1
"793","Lasioglossum (Parasphecodes) carbonarium","Boronia ledifolia",1
"794","Lasioglossum (Parasphecodes) carbonarium","Epacris pulchella",1
"795","Lasioglossum (Parasphecodes) carbonarium","Eucalyptus camfieldii",2
"796","Lasioglossum (Parasphecodes) carbonarium","Gompholobium grandiflorum",1
"797","Lasioglossum (Parasphecodes) carbonarium","Goodia lotifolia",1
"798","Lasioglossum (Parasphecodes) carbonarium","Kunzea ambigua",1
"799","Lasioglossum (Parasphecodes) carbonarium","Leucopogon sp",1
"800","Lasioglossum (Parasphecodes) carbonarium","Senecio sp",1
"801","Lasioglossum (Parasphecodes) carbonarium","Xanthorrhoea media",10
"802","Lasioglossum (Parasphecodes) clarigaster","Leucopogon sp",1
"803","Lasioglossum (Parasphecodes) clarigaster","Persoonia virgata",2
"804","Lasioglossum (Parasphecodes) clarigaster","Pultenaea scabra",1
"805","Lasioglossum (Parasphecodes) clarigaster","Stylidium productum",2
"806","Lasioglossum (Parasphecodes) excultum","Dillwynia floribunda",1
"807","Lasioglossum (Parasphecodes) excultum","Eucryphia moorei",1
"808","Lasioglossum (Parasphecodes) forresti","Pultenaea tuberculata",1
"809","Lasioglossum (Parasphecodes) hilactum","Pultenaea microphylla",2
"810","Lasioglossum (Parasphecodes) hiltacum","Acacia buxifolia",3
"811","Lasioglossum (Parasphecodes) hiltacum","Acacia parramattensis",1
"812","Lasioglossum (Parasphecodes) hiltacum","Angophora floribunda",7
"813","Lasioglossum (Parasphecodes) hiltacum","Angophora hispida",1
"814","Lasioglossum (Parasphecodes) hiltacum","Brachychiton populneum",1
"815","Lasioglossum (Parasphecodes) hiltacum","Callistemon sp",7
"816","Lasioglossum (Parasphecodes) hiltacum","Eremophila scoparia",2
"817","Lasioglossum (Parasphecodes) hiltacum","Eucalyptus sp",1
"818","Lasioglossum (Parasphecodes) hiltacum","Eucalyptus camfieldii",1
"819","Lasioglossum (Parasphecodes) hiltacum","Eucalyptus canaliculata",1
"820","Lasioglossum (Parasphecodes) hiltacum","Eucalyptus sp",2
"821","Lasioglossum (Parasphecodes) hiltacum","Eucalyptus sp",2
"822","Lasioglossum (Parasphecodes) hiltacum","Grevillea sericea",1
"823","Lasioglossum (Parasphecodes) hiltacum","Kunzea parvifolia",1
"824","Lasioglossum (Parasphecodes) hiltacum","Leptospermum sp",1
"825","Lasioglossum (Parasphecodes) hiltacum","Melaleuca quinquinerva",1
"826","Lasioglossum (Parasphecodes) hiltacum","Melaleuca sp",1
"827","Lasioglossum (Parasphecodes) hiltacum","Monotoca scoparia",1
"828","Lasioglossum (Parasphecodes) hiltacum","Ranunculus sp",1
"829","Lasioglossum (Parasphecodes) hiltacum","Senna sp",1
"830","Lasioglossum (Parasphecodes) hiltacum","Westringia rigida",1
"831","Lasioglossum (Parasphecodes) imitator","Taraxacum officinale",2
"832","Lasioglossum (Parasphecodes) imitator","Eucalyptus sp",1
"833","Lasioglossum (Parasphecodes) imitator","Ranunculus sp",2
"834","Lasioglossum (Parasphecodes) imitator","Wahlenbergia sp",2
"835","Lasioglossum (Parasphecodes) imitator","Xerochrysum bracteatum",1
"836","Lasioglossum (Parasphecodes) lacthium","Taraxacum officinale",1
"837","Lasioglossum (Parasphecodes) lacthium","Dillwynia sp",1
"838","Lasioglossum (Parasphecodes) lacthium","Eucalyptus dumosa",1
"839","Lasioglossum (Parasphecodes) lacthium","Eucalyptus sp",1
"840","Lasioglossum (Parasphecodes) lacthium","Jacksonia scoparia",1
"841","Lasioglossum (Parasphecodes) lacthium","Spiranthes sinensis",1
"842","Lasioglossum (Parasphecodes) lacthium","Xerochrysum bracteatum",2
"843","Lasioglossum (Parasphecodes) lichatum","Acacia rubida",1
"844","Lasioglossum (Parasphecodes) loweri","Eucalyptus sp",1
"845","Lasioglossum (Parasphecodes) melbournense","Leucopogon lanceolatus",1
"846","Lasioglossum (Parasphecodes) melbournense","Podolobium ilicifolium",1
"847","Lasioglossum (Parasphecodes) olgae","Taraxacum officinale",10
"848","Lasioglossum (Parasphecodes) olgae","Dianella caerulea",1
"849","Lasioglossum (Parasphecodes) olgae","Persoonia chamaepitys",1
"850","Lasioglossum (Parasphecodes) olgae","Senecio sp",5
"851","Lasioglossum (Parasphecodes) sulthicum","Taraxacum officinale",1
"852","Lasioglossum (Parasphecodes) sulthicum","Angophora floribunda",1
"853","Lasioglossum (Parasphecodes) sulthicum","Callistemon sp",1
"854","Lasioglossum (Parasphecodes) sulthicum","Calytrix tetragona",1
"855","Lasioglossum (Parasphecodes) sulthicum","Eremophila maculata",1
"856","Lasioglossum (Parasphecodes) sulthicum","Eucalyptus camfieldii",1
"857","Lasioglossum (Parasphecodes) sulthicum","Eucalyptus sp",2
"858","Lasioglossum (Parasphecodes) sulthicum","Polyscias sambucifolia",1
"859","Lasioglossum (Parasphecodes) sulthicum","Prostanthera lasianthos",1
"860","Lasioglossum (Parasphecodes) sulthicum","Pultenaea tuberculata",1
"861","Lasioglossum (Parasphecodes) sulthicum","Senecio linearifolius",2
"862","Lasioglossum (Parasphecodes) sulthicum","Xanthorrhoea media",3
"863","Lasioglossum (Parasphecodes) taluche","Acacia buxifolia",1
"864","Lasioglossum (Parasphecodes) taluche","Angophora hispida",2
"865","Lasioglossum (Parasphecodes) taluche","Boronia ledifolia",2
"866","Lasioglossum (Parasphecodes) taluche","Epacris pulchella",1
"867","Lasioglossum (Parasphecodes) taluche","Leptospermum trinervum",1
"868","Lasioglossum (Parasphecodes) taluche","Philotheca obovalis",1
"869","Lasioglossum (Parasphecodes) taluche","Xanthorrhoea media",2
"870","Lasioglossum (Parasphecodes) tribuarium","Bossiaea heterophylla",2
"871","Lasioglossum (Parasphecodes) tribuarium","Goodenia bellidifolia",1
"872","Lasioglossum (Parasphecodes) tribuarium","Scaevola ramosissima",3
"873","Lasioglossum (Parasphecodes) tribuarium","Senecio sp",1
"874","Lasioglossum (Parasphecodes) turneri","Acacia sp",2
"875","Lasioglossum (Parasphecodes) turneri","Boronia ledifolia",1
"876","Lasioglossum (Parasphecodes) turneri","Boronia pinnata",1
"877","Lasioglossum (Parasphecodes) turneri","Epacris pulchella",1
"878","Lasioglossum (Parasphecodes) turneri","Goodenia paniculata",1
"879","Lasioglossum (Parasphecodes) turneri","Hibbertia sp",1
"880","Lasioglossum (Parasphecodes) turneri","Micromyrtus blakelyi",1
"881","Lasioglossum (Parasphecodes) turneri","Mirbelia platylobioides",1
"882","Lasioglossum (Parasphecodes) turneri","Pultenaea stipularis",1
"883","Lasioglossum (Parasphecodes) turneri","Stylidium lineare",2
"884","Lasioglossum (Parasphecodes) turneri","Stylidium sp",1
"885","Lasioglossum (Parasphecodes) turneri","Xanthorrhoea media",1
"886","Lasioglossum (Parasphecodes) waterhousei","Acacia suavolens",1
"887","Lasioglossum (Parasphecodes) waterhousei","Boronia microphylla",1
"888","Lasioglossum (Parasphecodes) waterhousei","Eucalyptus camfieldii",1
"889","Lasioglossum (Parasphecodes) waterhousei","Kunzea ambigua",1
"890","Lasioglossum (Parasphecodes) waterhousei","Leptospermum sp",2
"891","Lasioglossum (Parasphecodes) waterhousei","Leptospermum trinervum",1
"892","Lasioglossum (Parasphecodes) waterhousei","Podolobium ilicifolium",1
"893","Lasioglossum (Parasphecodes) waterhousei","Senecio amygdalifolia",3
"894","Lasioglossum (Parasphecodes) waterhousei","Symphionema monatum",1
"895","Lasioglossum (Parasphecodes) waterhousei","Xanthorrhoea media",4
"896","Lasioglossum (Parasphecodes) msp. bly","Taraxacum officinale",1
"897","Lasioglossum (Parasphecodes) msp. bly","Cirsium vulgare",1
"898","Lasioglossum (Parasphecodes) msp. bly","Persoonia mollis",1
"899","Lasioglossum (Parasphecodes) msp. bly","Senecio sp",1
"900","Lasioglossum (Parasphecodes) msp. bly","Syzygium sp",1
"901","Lasioglossum (Parasphecodes) msp. bly","Xerochrysum bracteatum",2
"902","Lasioglossum (Parasphecodes) msp. var","Boronia microphylla",2
"903","Lasioglossum (Parasphecodes) msp. var","Leucopogon sp",5
"904","Lasioglossum (Parasphecodes) msp. var","Oxylobium arborescens",1
"905","Lasioglossum (Parasphecodes) msp. var","Persoonia myrtilloides",1
"906","Lasioglossum (Parasphecodes) sp. unsorted","Taraxacum officinale",1
"907","Lasioglossum (Parasphecodes) sp. unsorted","Melaleuca sp",1
"908","Lasioglossum (Parasphecodes) sp. unsorted","Solanum sp",1
"909","Lasioglossum sp. unsorted","Boronia microphylla",1
"910","Lasioglossum sp. unsorted","Brachychiton populneum",1
"911","Lasioglossum sp. unsorted","Calytrix tetragona",2
"912","Lasioglossum sp. unsorted","Eremophila mitchellii",4
"913","Lasioglossum sp. unsorted","Eremophila sturtii",1
"914","Lasioglossum sp. unsorted","Eucalyptus sp",2
"915","Lasioglossum sp. unsorted","Eutaxia microphylla",3
"916","Lasioglossum sp. unsorted","Kunzea ambigua",1
"917","Lasioglossum sp. unsorted","Kunzea parvifolia",1
"918","Lasioglossum sp. unsorted","Prostanthera rotundifolia",1
"919","Lasioglossum sp. unsorted","Wahlenbergia sp",1
"920","Lipotriches (Austronomia) australica","Angophora floribunda",3
"921","Lipotriches (Austronomia) australica","Angophora hispida",2
"922","Lipotriches (Austronomia) australica","Brachychiton populneum",1
"923","Lipotriches (Austronomia) australica","Callistemon sp",2
"924","Lipotriches (Austronomia) australica","Calytrix exstipulata",1
"925","Lipotriches (Austronomia) australica","Dianella sp",1
"926","Lipotriches (Austronomia) australica","Eucalyptus dumosa",2
"927","Lipotriches (Austronomia) australica","Eucalyptus sp",2
"928","Lipotriches (Austronomia) australica","Halgania andromedifolia",1
"929","Lipotriches (Austronomia) australica","Hardenbergia violacea",1
"930","Lipotriches (Austronomia) australica","Keraudrenia integrifolia",1
"931","Lipotriches (Austronomia) australica","Keraudrenia sp",1
"932","Lipotriches (Austronomia) australica","Kunzea ambigua",1
"933","Lipotriches (Austronomia) australica","Lambertia formosa",1
"934","Lipotriches (Austronomia) australica","Ligustrum lucidum",1
"935","Lipotriches (Austronomia) australica","Melaleuca quinquinerva",1
"936","Lipotriches (Austronomia) australica","Melaleuca uncinata",1
"937","Lipotriches (Austronomia) australica","Myoporum sp",1
"938","Lipotriches (Austronomia) australica","Ptilotus helipteroides",1
"939","Lipotriches (Austronomia) australica","Pultenaea sp",1
"940","Lipotriches (Austronomia) australica","Pultenaea tuberculata",1
"941","Lipotriches (Austronomia) australica","Scaevola depauperata",2
"942","Lipotriches (Austronomia) australica","Senna sp",2
"943","Lipotriches (Austronomia) australica","Solanum sp",3
"944","Lipotriches (Austronomia) australica","Verticordia acerosa",1
"945","Lipotriches (Austronomia) australica","Xanthorrhoea media",2
"946","Lipotriches (Austronomia) dentiventris","Brachychiton populneum",1
"947","Lipotriches (Austronomia) dentiventris","Eucalyptus albens",1
"948","Lipotriches (Austronomia) excellens","Taraxacum officinale",1
"949","Lipotriches (Austronomia) excellens","Brachychiton populneum",1
"950","Lipotriches (Austronomia) excellens","Bursaria spinosa",1
"951","Lipotriches (Austronomia) excellens","Kunzea ambigua",1
"952","Lipotriches (Austronomia) excellens","Pultenaea tuberculata",2
"953","Lipotriches (Austronomia) excellens","Wahlenbergia sp",1
"954","Lipotriches (Austronomia) ferricauda","Angophora hispida",2
"955","Lipotriches (Austronomia) ferricauda","Eremophila mitchellii",2
"956","Lipotriches (Austronomia) ferricauda","Eucalyptus sp",3
"957","Lipotriches (Austronomia) ferricauda","Hakea dactyloides",1
"958","Lipotriches (Austronomia) ferricauda","Phyllota phylicoides",1
"959","Lipotriches (Austronomia) ferricauda","Pultenaea tuberculata",1
"960","Lipotriches (Austronomia) flavoviridis","Alectyron oleifolius",1
"961","Lipotriches (Austronomia) flavoviridis","Angophora hispida",1
"962","Lipotriches (Austronomia) flavoviridis","Bursaria spinosa",2
"963","Lipotriches (Austronomia) flavoviridis","Calandrinia balonensis",1
"964","Lipotriches (Austronomia) flavoviridis","Calytrix longiflora",1
"965","Lipotriches (Austronomia) flavoviridis","Calytrix tetragona",2
"966","Lipotriches (Austronomia) flavoviridis","Cassinia laevis",1
"967","Lipotriches (Austronomia) flavoviridis","Corymbia terminalis",1
"968","Lipotriches (Austronomia) flavoviridis","Dianella longifolia",1
"969","Lipotriches (Austronomia) flavoviridis","Dillwynia floribunda",1
"970","Lipotriches (Austronomia) flavoviridis","Eremophila deserti",3
"971","Lipotriches (Austronomia) flavoviridis","Eremophila interstans",2
"972","Lipotriches (Austronomia) flavoviridis","Eremophila longifolia",1
"973","Lipotriches (Austronomia) flavoviridis","Eremophila mitchellii",3
"974","Lipotriches (Austronomia) flavoviridis","Eremophila polyclada",4
"975","Lipotriches (Austronomia) flavoviridis","Eremophila scoparia",3
"976","Lipotriches (Austronomia) flavoviridis","Eremophila sturtii",3
"977","Lipotriches (Austronomia) flavoviridis","Erigeron sp",1
"978","Lipotriches (Austronomia) flavoviridis","Eucalyptus sp",1
"979","Lipotriches (Austronomia) flavoviridis","Eucalyptus dumosa",2
"980","Lipotriches (Austronomia) flavoviridis","Eucalyptus sideroxylon",1
"981","Lipotriches (Austronomia) flavoviridis","Fankenia gracilis",1
"982","Lipotriches (Austronomia) flavoviridis","Grevillea buxifolia",1
"983","Lipotriches (Austronomia) flavoviridis","Halgania andromedifolia",1
"984","Lipotriches (Austronomia) flavoviridis","Halgania cyanea",1
"985","Lipotriches (Austronomia) flavoviridis","Isotropis wheeleri",2
"986","Lipotriches (Austronomia) flavoviridis","Lechenaultia divaricata",2
"987","Lipotriches (Austronomia) flavoviridis","Lepidium leptopetalum",1
"988","Lipotriches (Austronomia) flavoviridis","Leptospermum sp",5
"989","Lipotriches (Austronomia) flavoviridis","Ligustrum lucidum",2
"990","Lipotriches (Austronomia) flavoviridis","Melaleuca uncinata",1
"991","Lipotriches (Austronomia) flavoviridis","Micromyrtus blakelyi",1
"992","Lipotriches (Austronomia) flavoviridis","Monotoca scoparia",1
"993","Lipotriches (Austronomia) flavoviridis","Olearia sp",2
"994","Lipotriches (Austronomia) flavoviridis","Pultenaea microphylla",1
"995","Lipotriches (Austronomia) flavoviridis","Rhagodia spinescens",2
"996","Lipotriches (Austronomia) flavoviridis","Scaevola depauperata",2
"997","Lipotriches (Austronomia) flavoviridis","Senna pleurocarpa",1
"998","Lipotriches (Austronomia) flavoviridis","Senna sp",2
"999","Lipotriches (Austronomia) flavoviridis","Teucrium racemosum",1
"1000","Lipotriches (Austronomia) flavoviridis","Trachymene glaucifolia",1
"1001","Lipotriches (Austronomia) flavoviridis","Wahlenbergia sp",8
"1002","Lipotriches (Austronomia) gracilipes","Bulbine bulbosa",2
"1003","Lipotriches (Austronomia) gracilipes","Corymbia tesselaris",1
"1004","Lipotriches (Austronomia) gracilipes","Eremophila mitchellii",1
"1005","Lipotriches (Austronomia) gracilipes","Eremophila sturtii",2
"1006","Lipotriches (Austronomia) gracilipes","Eucalyptus dumosa",1
"1007","Lipotriches (Austronomia) gracilipes","Eucalyptus sp",2
"1008","Lipotriches (Austronomia) gracilipes","Melaleuca sp",5
"1009","Lipotriches (Austronomia) gracilipes","Melaleuca uncinata",3
"1010","Lipotriches (Austronomia) gracilipes","Senna artemisiodes",1
"1011","Lipotriches (Austronomia) gracilipes","Senna pleurocarpa",2
"1012","Lipotriches (Austronomia) kurandina","Angophora floribunda",1
"1013","Lipotriches (Austronomia) kurandina","Scaevola ramosissima",1
"1014","Lipotriches (Austronomia) moerens","Dillwynia floribunda",1
"1015","Lipotriches (Austronomia) moerens","Goodenia bellidifolia",1
"1016","Lipotriches (Austronomia) moerens","Kunzea ambigua",2
"1017","Lipotriches (Austronomia) moerens","Leucopogon sp",1
"1018","Lipotriches (Austronomia) moerens","Podolobium aestivum",1
"1019","Lipotriches (Austronomia) moerens","Pultenaea ferruginea",1
"1020","Lipotriches (Austronomia) moerens","Pultenaea stipularis",1
"1021","Lipotriches (Austronomia) moerens","Pultenaea tuberculata",3
"1022","Lipotriches (Austronomia) moerens","Xerochrysum bracteatum",1
"1023","Lipotriches (Austronomia) muscosa","Solanum jasminoides",1
"1024","Lipotriches (Austronomia) muscosa","Dillwynia sericea",1
"1025","Lipotriches (Austronomia) muscosa","Persoonia linearis",1
"1026","Lipotriches (Austronomia) muscosa","Persoonia virgata",1
"1027","Lipotriches (Austronomia) sp. unsorted","Acacia triptera",1
"1028","Lipotriches (Austronomia) sp. unsorted","Alectyron oleifolius",1
"1029","Lipotriches (Austronomia) sp. unsorted","Antigonon leptopis",1
"1030","Lipotriches (Austronomia) sp. unsorted","Cleome viscosa",3
"1031","Lipotriches (Austronomia) sp. unsorted","Dianella caerulea",1
"1032","Lipotriches (Austronomia) sp. unsorted","Dillwynia rupestris",1
"1033","Lipotriches (Austronomia) sp. unsorted","Eremophila deserti",2
"1034","Lipotriches (Austronomia) sp. unsorted","Eremophila mitchellii",6
"1035","Lipotriches (Austronomia) sp. unsorted","Eremophila sturtii",1
"1036","Lipotriches (Austronomia) sp. unsorted","Eryngium rostratum",6
"1037","Lipotriches (Austronomia) sp. unsorted","Eucalyptus dumosa",2
"1038","Lipotriches (Austronomia) sp. unsorted","Halgania cyanea",1
"1039","Lipotriches (Austronomia) sp. unsorted","Ipomoea pes-caprae",5
"1040","Lipotriches (Austronomia) sp. unsorted","Oldenlandia pterospora",1
"1041","Lipotriches (Austronomia) sp. unsorted","Petalostylis labicheoides",1
"1042","Lipotriches (Austronomia) sp. unsorted","Ptilotus helipteroides",2
"1043","Lipotriches (Austronomia) sp. unsorted","Ptilotus sessilifolius",1
"1044","Lipotriches (Austronomia) sp. unsorted","Pultenaea sp",1
"1045","Lipotriches (Austronomia) sp. unsorted","Scaevola depauperata",5
"1046","Lipotriches (Austronomia) sp. unsorted","Senecio sp",1
"1047","Lipotriches (Austronomia) sp. unsorted","Senna venusta",1
"1048","Lipotriches (Austronomia) sp. unsorted","Sesbania brachycarpa",2
"1049","Lipotriches (Austronomia) sp. unsorted","Solanum quadriloculatum",3
"1050","Lipotriches (Austronomia) sp. unsorted","Solanum sp",1
"1051","Lipotriches (Austronomia) sp. unsorted","Swainsona swainsonioides",1
"1052","Lipotriches (Austronomia) sp. unsorted","Tephrosia rosea",1
"1053","Lipotriches (Austronomia) sp. unsorted","Trianthema pilosa",1
"1054","Lipotriches (Austronomia) sp. unsorted","Tribulus terrestris",1
"1055","Lipotriches (Austronomia) sp. unsorted","Wahlenbergia sp",8
"1056","Lipotriches (Austronomia) submoerens","Boronia pinnata",1
"1057","Lipotriches (Austronomia) submoerens","Bossiaea heterophylla",3
"1058","Lipotriches (Austronomia) submoerens","Calytrix sp",1
"1059","Lipotriches (Austronomia) submoerens","Dillwynia glaberrima",1
"1060","Lipotriches (Austronomia) submoerens","Hardenbergia violacea",1
"1061","Lipotriches (Austronomia) submoerens","Hibbertia sp",1
"1062","Lipotriches (Austronomia) submoerens","Leucopogon virgatus",2
"1063","Lipotriches (Austronomia) submoerens","Phyllota phylicoides",1
"1064","Lipotriches (Austronomia) submoerens","Pultenaea tuberculata",4
"1065","Lipotriches (Austronomia) submoerens","Scaevola ramosissima",1
"1066","Lipotriches (Austronomia) msp. fv1","Exocarpus sp",1
"1067","Lipotriches (Austronomia) msp. fv1","Melaleuca sp",11
"1068","Lipotriches (Austronomia) msp. simAC","Triumfetta winneckeana",1
"1069","Mellitidia tomentifera","Mimosa pudica",1
"1070","Nomia (Hoplonomia) rubroviridis","Persoonia virgata",1
"1071","Nomia (Hoplonomia) rubroviridis","Solanum mauritianum",1
"1072","Nomia (Paulynomia) aurantifer","Persoonia linearis",1
"1073","Nomia (Paulynomia) aurantifer","Solanum mauritianum",1
"1074","Nomia (Paulynomia) aurantifer","Solanum nigrum",1
"1075","Nomia (Paulynomia) swainsoniae","Pultenaea tuberculata",4
"1076","Seladonia hotoni","Acacia sp",1
"1077","Seladonia hotoni","Bidens sp",1
"1078","Seladonia hotoni","Conyza sp",1
"1079","Seladonia hotoni","Galenia pubescens",9
"1080","Seladonia hotoni","Gazania sp",2
